Car Make,Car Model,Year,Mileage,Price,Fuel Type,Color,Transmission,Options/Features,Condition,Accident
Hyundai,Tucson,2010,52554,44143.82,Hybrid,Black,Automatic,Heated Seats,Used,No
Land Rover,Range Rover,2016,115056,25414.06,Diesel,Silver,Manual,GPS,Used,No
Honda,Accord,2022,18044,28262.872,Electric,Yellow,Manual,"Bluetooth, Leather Seats, Backup Camera, GPS",Like New,Yes
Kia,Soul,2011,79251,28415.848,Hybrid,Orange,Manual,"Backup Camera, GPS, Heated Seats, Leather Seats",New,Yes
Volkswagen,Golf,2022,40975,31509.792,Electric,Silver,Automatic,"Leather Seats, Remote Start, Sunroof, Heated Seats",New,Yes
Land Rover,Velar,2020,97842,6594.72,Gasoline,Green,Automatic,"Backup Camera, Sunroof, Remote Start",Like New,Yes
Mazda,CX-9,2014,35192,23226.45,Electric,White,Manual,Sunroof,Used,No
Audi,Q5,2016,109975,22862.648,Hybrid,Gray,Manual,"GPS, Backup Camera",New,Yes
Audi,Q7,2018,55830,45766.52,Electric,Silver,Automatic,"Bluetooth, Leather Seats",New,No
Chevrolet,Traverse,2012,24753,10377.264,Hybrid,Yellow,Manual,"Leather Seats, Sunroof, GPS",Used,Yes
Jaguar,XJ,2020,84382,32667.872,Gasoline,Silver,Automatic,"GPS, Remote Start, Bluetooth, Backup Camera",Like New,Yes
BMW,3 Series,2019,137924,17841.368,Gasoline,Yellow,Automatic,"GPS, Sunroof",Like New,Yes
Audi,A6,2021,27106,22163.768,Diesel,Red,Automatic,"Backup Camera, Remote Start, Heated Seats, Leather Seats",Used,Yes
Kia,Forte,2014,106558,18715.696,Electric,Brown,Automatic,Bluetooth,Used,Yes
Audi,Q7,2020,106335,17786.61,Diesel,Silver,Automatic,"Bluetooth, Heated Seats, Sunroof",Used,No
Honda,Fit,2021,27208,15144.944,Hybrid,Silver,Automatic,"Backup Camera, Bluetooth, GPS, Heated Seats",Used,Yes
Volkswagen,Golf,2013,94583,38116.056,Hybrid,Blue,Automatic,Bluetooth,New,Yes
Audi,Q7,2022,146497,34064.312,Gasoline,Silver,Automatic,"Leather Seats, Remote Start",Used,Yes
Fiat,500X,2021,119733,5572.928,Electric,Blue,Manual,"Leather Seats, Backup Camera, Remote Start, Bluetooth",Used,Yes
Jaguar,XF,2015,120499,25775.6,Electric,Green,Manual,"Remote Start, Bluetooth",New,No
Ford,Mustang,2015,31893,29610.432,Gasoline,Gray,Automatic,"Backup Camera, Leather Seats, Sunroof, GPS",New,Yes
Tesla,Model Y,2015,11991,18936.288,Hybrid,Orange,Manual,Bluetooth,New,Yes
Tesla,Model 3,2015,30974,34210.344000000005,Electric,White,Automatic,"Heated Seats, Leather Seats, Sunroof, Backup Camera",New,Yes
Fiat,500,2011,9981,13213.264000000005,Diesel,Orange,Manual,"Bluetooth, GPS",New,Yes
Ford,Escape,2016,124829,6261.0560000000005,Hybrid,Brown,Automatic,"Bluetooth, Sunroof",Used,Yes
Toyota,RAV4,2015,68062,24543.896,Diesel,Black,Manual,"Remote Start, Sunroof, GPS, Heated Seats",New,Yes
Kia,Forte,2021,9257,16855.376,Gasoline,Silver,Automatic,"Leather Seats, GPS, Bluetooth",Used,Yes
Chevy,Equinox,2020,50898,33893.808000000005,Hybrid,Yellow,Automatic,"GPS, Bluetooth, Leather Seats, Remote Start",New,Yes
Mercedes,C-Class,2015,86284,22553.808,Hybrid,Gray,Automatic,"Bluetooth, GPS, Remote Start",Used,Yes
Nissan,Altima,2022,101474,19730.248000000003,Hybrid,Yellow,Manual,"Heated Seats, Sunroof, Bluetooth, Backup Camera",Like New,Yes
BMW,X3,2011,117881,25688.320000000003,Diesel,Orange,Manual,Bluetooth,Like New,Yes
Volkswagen,Passat,2017,116703,9999.208,Hybrid,Silver,Manual,"Bluetooth, Heated Seats, GPS, Backup Camera",New,Yes
Mazda,CX-5,2018,46939,38300.416,Diesel,Brown,Manual,Leather Seats,New,Yes
Kia,Forte,2016,13489,32229.27,Hybrid,Silver,Manual,"Backup Camera, Bluetooth",Like New,No
Mazda,CX-5,2020,78056,12986.016,Gasoline,Red,Automatic,Bluetooth,Like New,Yes
Nissan,Sentra,2013,79862,28983.304,Hybrid,Blue,Automatic,"Leather Seats, Heated Seats, Sunroof, GPS",New,Yes
Hyundai,Tucson,2021,22023,23799.896,Electric,Gray,Automatic,"Backup Camera, Leather Seats, GPS",Used,Yes
Mercedes,E-Class,2013,134504,4946.224,Electric,Yellow,Automatic,Bluetooth,Used,Yes
Mazda,CX-9,2018,112687,39612.4,Gasoline,White,Manual,"Sunroof, Heated Seats, Backup Camera, Bluetooth",Used,No
Honda,Fit,2020,52700,31640.136,Diesel,Green,Automatic,"Leather Seats, Remote Start, Bluetooth",New,Yes
Tesla,Model X,2018,79461,34453.616,Electric,Blue,Manual,Backup Camera,New,Yes
Chevrolet,Traverse,2019,45421,10163.224000000002,Electric,Brown,Automatic,Heated Seats,New,Yes
Chrysler,300,2020,60262,31610.52800000001,Hybrid,Brown,Automatic,"Sunroof, Leather Seats, Remote Start",Like New,Yes
Volkswagen,Tiguan,2011,20705,9690.896,Hybrid,Yellow,Manual,"Bluetooth, Heated Seats",New,Yes
Hyundai,Tucson,2016,39279,31383.936,Gasoline,Silver,Automatic,"Sunroof, Leather Seats, Heated Seats",Like New,Yes
Audi,A4,2014,105702,35109.896,Hybrid,Blue,Automatic,"Remote Start, Leather Seats",Like New,Yes
Jaguar,I-Pace,2017,135746,35646.72,Hybrid,Red,Automatic,"Leather Seats, Backup Camera",Like New,Yes
Kia,Optima,2010,78755,21816.192000000003,Hybrid,Gray,Automatic,"Bluetooth, Heated Seats",New,Yes
Kia,Soul,2015,16860,18420.936,Diesel,Silver,Manual,"Remote Start, Backup Camera, Bluetooth, GPS",New,Yes
Honda,Civic,2016,102831,32616.304,Electric,Orange,Manual,"Backup Camera, GPS, Heated Seats, Remote Start",New,Yes
Honda,CR-V,2022,129189,22695.976,Diesel,Brown,Automatic,"Sunroof, Backup Camera",Like New,Yes
Volkswagen,Beetle,2015,137989,33818.416,Hybrid,Brown,Manual,"Bluetooth, Heated Seats, GPS",Like New,Yes
Subaru,Legacy,2014,11985,25488.744,Electric,Brown,Automatic,"Leather Seats, Backup Camera, Heated Seats, Sunroof",Used,Yes
Honda,Accord,2010,33808,10868.232000000002,Hybrid,Silver,Manual,"Sunroof, Backup Camera",New,Yes
Fiat,Doblo,2021,21326,36759.89,Diesel,Orange,Manual,"Bluetooth, Leather Seats, Sunroof, Remote Start",Used,No
Chevy,Equinox,2020,74300,25962.76,Diesel,Blue,Manual,"Bluetooth, Remote Start",Used,Yes
Mercedes,A-Class,2015,130777,16556.912,Electric,Gray,Automatic,"Remote Start, Bluetooth, Leather Seats, Heated Seats",Used,Yes
Ford,Focus,2021,25717,20586.36,Hybrid,Gray,Manual,"Backup Camera, Heated Seats, Bluetooth",New,No
Honda,Civic,2019,67726,12728.488,Diesel,Blue,Automatic,"Heated Seats, Sunroof, GPS",New,Yes
Honda,Civic,2018,46403,18648.672,Hybrid,Yellow,Automatic,"Heated Seats, GPS, Remote Start",Like New,Yes
Chrysler,Charger,2018,14777,36876.272,Diesel,Green,Automatic,"Leather Seats, Heated Seats, Bluetooth, GPS",New,Yes
Toyota,Highlander,2019,33128,46780.47,Electric,Gray,Manual,"Remote Start, Backup Camera",Used,No
Porsche,Macan,2013,34529,15904.624,Hybrid,Gray,Automatic,"Backup Camera, Heated Seats, Leather Seats",New,Yes
Chevrolet,Traverse,2020,111296,33771.632000000005,Electric,Black,Manual,"Leather Seats, Sunroof",Used,Yes
Hyundai,Sonata,2010,73363,17808.68,Hybrid,Gray,Manual,"Heated Seats, Bluetooth, Leather Seats",Like New,Yes
